noise_rate,repeat,n,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate
0.0,0,1170.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,1,1170.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,2,1170.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,3,1170.0,1.0,1.0,1.0,1.0,0.0,0.0
0.0,4,1170.0,1.0,1.0,1.0,1.0,0.0,0.0
0.02,0,1170.0,0.982051282051282,0.9735294117647059,0.9650145772594753,0.9692532942898975,0.010882708585247884,0.03498542274052478
0.02,1,1170.0,0.9854700854700855,0.9766081871345029,0.9737609329446064,0.9751824817518249,0.009673518742442563,0.026239067055393587
0.02,2,1170.0,0.9871794871794872,0.9685714285714285,0.9883381924198251,0.9783549783549784,0.013301088270858524,0.011661807580174927
0.02,3,1170.0,0.9794871794871794,0.9570200573065902,0.9737609329446064,0.9653179190751445,0.018137847642079808,0.026239067055393587
0.02,4,1170.0,0.9863247863247864,0.9794721407624634,0.9737609329446064,0.9766081871345029,0.008464328899637243,0.026239067055393587
0.05,0,1170.0,0.9641025641025641,0.9659442724458205,0.9096209912536443,0.9369369369369369,0.013301088270858524,0.09037900874635568
0.05,1,1170.0,0.958974358974359,0.9325513196480938,0.9271137026239067,0.9298245614035089,0.02781136638452237,0.0728862973760933
0.05,2,1170.0,0.964957264957265,0.9548192771084337,0.924198250728863,0.9392592592592592,0.018137847642079808,0.07580174927113703
0.05,3,1170.0,0.9632478632478633,0.9545454545454546,0.9183673469387755,0.9361069836552749,0.018137847642079808,0.08163265306122448
0.05,4,1170.0,0.9606837606837607,0.9513677811550152,0.9125364431486881,0.9315476190476191,0.019347037484885126,0.08746355685131195
0.1,0,1170.0,0.9222222222222223,0.8987341772151899,0.8279883381924198,0.8619119878603946,0.03869407496977025,0.17201166180758018
0.1,1,1170.0,0.9341880341880342,0.8982035928143712,0.8746355685131195,0.8862629246676514,0.041112454655380895,0.12536443148688048
0.1,2,1170.0,0.9444444444444444,0.9263803680981595,0.880466472303207,0.9028400597907325,0.02902055622732769,0.119533527696793
0.1,3,1170.0,0.9324786324786325,0.9125,0.8513119533527697,0.8808446455505279,0.03385731559854897,0.14868804664723032
0.1,4,1170.0,0.9487179487179487,0.9300911854103343,0.892128279883382,0.9107142857142857,0.02781136638452237,0.10787172011661808
0.2,0,1170.0,0.8897435897435897,0.8451612903225807,0.7638483965014577,0.8024502297090352,0.05804111245465538,0.23615160349854228
0.2,1,1170.0,0.8777777777777778,0.8333333333333334,0.7288629737609329,0.7776049766718507,0.060459492140266025,0.27113702623906705
0.2,2,1170.0,0.8811965811965812,0.8355263157894737,0.7405247813411079,0.7851622874806802,0.060459492140266025,0.2594752186588921
0.2,3,1170.0,0.8743589743589744,0.8141025641025641,0.7405247813411079,0.7755725190839695,0.07013301088270858,0.2594752186588921
0.2,4,1170.0,0.8666666666666667,0.8280701754385965,0.6880466472303207,0.7515923566878981,0.0592503022974607,0.3119533527696793
