invalid_accept_cost,valid_reject_cost,probe_cost,method,trials,median_total_cost,mean_total_cost
2.00,1.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
2.00,1.00,0.10,static_affordance,1691,0.08,0.7385807214665671
2.00,1.00,0.10,unordered_contacts,1691,0.1,0.5799881726789056
2.00,1.00,0.10,contact_bigram,1691,0.18,0.5356948551153082
2.00,1.00,0.10,flat_pair_memory,1691,0.06,0.3249319929036054
2.00,1.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
2.00,1.00,0.50,static_affordance,1691,0.08,0.7385807214665671
2.00,1.00,0.50,unordered_contacts,1691,0.1,0.5799881726789056
2.00,1.00,0.50,contact_bigram,1691,0.18,0.5356948551153082
2.00,1.00,0.50,flat_pair_memory,1691,0.06,0.3249319929036054
2.00,1.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
2.00,1.00,1.50,static_affordance,1691,0.08,0.7385807214665671
2.00,1.00,1.50,unordered_contacts,1691,0.1,0.5799881726789056
2.00,1.00,1.50,contact_bigram,1691,0.18,0.5356948551153082
2.00,1.00,1.50,flat_pair_memory,1691,0.06,0.3249319929036054
2.00,1.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
2.00,1.00,4.00,static_affordance,1691,0.08,0.7385807214665671
2.00,1.00,4.00,unordered_contacts,1691,0.1,0.5799881726789056
2.00,1.00,4.00,contact_bigram,1691,0.18,0.5356948551153082
2.00,1.00,4.00,flat_pair_memory,1691,0.06,0.3249319929036054
2.00,5.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
2.00,5.00,0.10,static_affordance,1691,0.08,0.7385807214665671
2.00,5.00,0.10,unordered_contacts,1691,0.1,0.5799881726789056
2.00,5.00,0.10,contact_bigram,1691,0.18,0.5356948551153082
2.00,5.00,0.10,flat_pair_memory,1691,0.06,0.9162980484919827
2.00,5.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
2.00,5.00,0.50,static_affordance,1691,0.08,0.7385807214665671
2.00,5.00,0.50,unordered_contacts,1691,0.1,0.5799881726789056
2.00,5.00,0.50,contact_bigram,1691,0.18,0.5356948551153082
2.00,5.00,0.50,flat_pair_memory,1691,0.06,0.9162980484919827
2.00,5.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
2.00,5.00,1.50,static_affordance,1691,0.08,0.7385807214665671
2.00,5.00,1.50,unordered_contacts,1691,0.1,0.5799881726789056
2.00,5.00,1.50,contact_bigram,1691,0.18,0.5356948551153082
2.00,5.00,1.50,flat_pair_memory,1691,0.06,0.9162980484919827
2.00,5.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
2.00,5.00,4.00,static_affordance,1691,0.08,0.7385807214665671
2.00,5.00,4.00,unordered_contacts,1691,0.1,0.5799881726789056
2.00,5.00,4.00,contact_bigram,1691,0.18,0.5356948551153082
2.00,5.00,4.00,flat_pair_memory,1691,0.06,0.9162980484919827
2.00,15.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
2.00,15.00,0.10,static_affordance,1691,0.08,0.7385807214665671
2.00,15.00,0.10,unordered_contacts,1691,0.1,0.5799881726789056
2.00,15.00,0.10,contact_bigram,1691,0.18,0.5356948551153082
2.00,15.00,0.10,flat_pair_memory,1691,0.06,2.3947131874629934
2.00,15.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
2.00,15.00,0.50,static_affordance,1691,0.08,0.7385807214665671
2.00,15.00,0.50,unordered_contacts,1691,0.1,0.5799881726789056
2.00,15.00,0.50,contact_bigram,1691,0.18,0.5356948551153082
2.00,15.00,0.50,flat_pair_memory,1691,0.06,2.3947131874629934
2.00,15.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
2.00,15.00,1.50,static_affordance,1691,0.08,0.7385807214665671
2.00,15.00,1.50,unordered_contacts,1691,0.1,0.5799881726789056
2.00,15.00,1.50,contact_bigram,1691,0.18,0.5356948551153082
2.00,15.00,1.50,flat_pair_memory,1691,0.06,2.3947131874629934
2.00,15.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
2.00,15.00,4.00,static_affordance,1691,0.08,0.7385807214665671
2.00,15.00,4.00,unordered_contacts,1691,0.1,0.5799881726789056
2.00,15.00,4.00,contact_bigram,1691,0.18,0.5356948551153082
2.00,15.00,4.00,flat_pair_memory,1691,0.06,2.3947131874629934
2.00,40.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
2.00,40.00,0.10,static_affordance,1691,0.08,0.7385807214665671
2.00,40.00,0.10,unordered_contacts,1691,0.1,0.5799881726789056
2.00,40.00,0.10,contact_bigram,1691,0.18,0.5356948551153082
2.00,40.00,0.10,flat_pair_memory,1691,0.06,6.090751034890646
2.00,40.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
2.00,40.00,0.50,static_affordance,1691,0.08,0.7385807214665671
2.00,40.00,0.50,unordered_contacts,1691,0.1,0.5799881726789056
2.00,40.00,0.50,contact_bigram,1691,0.18,0.5356948551153082
2.00,40.00,0.50,flat_pair_memory,1691,0.06,6.090751034890646
2.00,40.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
2.00,40.00,1.50,static_affordance,1691,0.08,0.7385807214665671
2.00,40.00,1.50,unordered_contacts,1691,0.1,0.5799881726789056
2.00,40.00,1.50,contact_bigram,1691,0.18,0.5356948551153082
2.00,40.00,1.50,flat_pair_memory,1691,0.06,6.090751034890646
2.00,40.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
2.00,40.00,4.00,static_affordance,1691,0.08,0.7385807214665671
2.00,40.00,4.00,unordered_contacts,1691,0.1,0.5799881726789056
2.00,40.00,4.00,contact_bigram,1691,0.18,0.5356948551153082
2.00,40.00,4.00,flat_pair_memory,1691,0.06,6.090751034890646
8.00,1.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
8.00,1.00,0.10,static_affordance,1691,0.08,2.753956238911876
8.00,1.00,0.10,unordered_contacts,1691,0.1,2.059586043761036
8.00,1.00,0.10,contact_bigram,1691,0.18,1.5824127735067794
8.00,1.00,0.10,flat_pair_memory,1691,0.06,0.676203429923094
8.00,1.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
8.00,1.00,0.50,static_affordance,1691,0.08,2.753956238911876
8.00,1.00,0.50,unordered_contacts,1691,0.1,2.059586043761036
8.00,1.00,0.50,contact_bigram,1691,0.18,1.5824127735067794
8.00,1.00,0.50,flat_pair_memory,1691,0.06,0.676203429923094
8.00,1.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
8.00,1.00,1.50,static_affordance,1691,0.08,2.753956238911876
8.00,1.00,1.50,unordered_contacts,1691,0.1,2.059586043761036
8.00,1.00,1.50,contact_bigram,1691,0.18,1.5824127735067794
8.00,1.00,1.50,flat_pair_memory,1691,0.06,0.676203429923094
8.00,1.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
8.00,1.00,4.00,static_affordance,1691,0.08,2.753956238911876
8.00,1.00,4.00,unordered_contacts,1691,0.1,2.059586043761036
8.00,1.00,4.00,contact_bigram,1691,0.18,1.5824127735067794
8.00,1.00,4.00,flat_pair_memory,1691,0.06,0.676203429923094
8.00,5.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
8.00,5.00,0.10,static_affordance,1691,0.08,2.753956238911876
8.00,5.00,0.10,unordered_contacts,1691,0.1,2.059586043761036
8.00,5.00,0.10,contact_bigram,1691,0.18,1.5824127735067794
8.00,5.00,0.10,flat_pair_memory,1691,0.06,1.2675694855114927
8.00,5.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
8.00,5.00,0.50,static_affordance,1691,0.08,2.753956238911876
8.00,5.00,0.50,unordered_contacts,1691,0.1,2.059586043761036
8.00,5.00,0.50,contact_bigram,1691,0.18,1.5824127735067794
8.00,5.00,0.50,flat_pair_memory,1691,0.06,1.2675694855114927
8.00,5.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
8.00,5.00,1.50,static_affordance,1691,0.08,2.753956238911876
8.00,5.00,1.50,unordered_contacts,1691,0.1,2.059586043761036
8.00,5.00,1.50,contact_bigram,1691,0.18,1.5824127735067794
8.00,5.00,1.50,flat_pair_memory,1691,0.06,1.2675694855114927
8.00,5.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
8.00,5.00,4.00,static_affordance,1691,0.08,2.753956238911876
8.00,5.00,4.00,unordered_contacts,1691,0.1,2.059586043761036
8.00,5.00,4.00,contact_bigram,1691,0.18,1.5824127735067794
8.00,5.00,4.00,flat_pair_memory,1691,0.06,1.2675694855114927
8.00,15.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
8.00,15.00,0.10,static_affordance,1691,0.08,2.753956238911876
8.00,15.00,0.10,unordered_contacts,1691,0.1,2.059586043761036
8.00,15.00,0.10,contact_bigram,1691,0.18,1.5824127735067794
8.00,15.00,0.10,flat_pair_memory,1691,0.06,2.7459846244825563
8.00,15.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
8.00,15.00,0.50,static_affordance,1691,0.08,2.753956238911876
8.00,15.00,0.50,unordered_contacts,1691,0.1,2.059586043761036
8.00,15.00,0.50,contact_bigram,1691,0.18,1.5824127735067794
8.00,15.00,0.50,flat_pair_memory,1691,0.06,2.7459846244825563
8.00,15.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
8.00,15.00,1.50,static_affordance,1691,0.08,2.753956238911876
8.00,15.00,1.50,unordered_contacts,1691,0.1,2.059586043761036
8.00,15.00,1.50,contact_bigram,1691,0.18,1.5824127735067794
8.00,15.00,1.50,flat_pair_memory,1691,0.06,2.7459846244825563
8.00,15.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
8.00,15.00,4.00,static_affordance,1691,0.08,2.753956238911876
8.00,15.00,4.00,unordered_contacts,1691,0.1,2.059586043761036
8.00,15.00,4.00,contact_bigram,1691,0.18,1.5824127735067794
8.00,15.00,4.00,flat_pair_memory,1691,0.06,2.7459846244825563
8.00,40.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
8.00,40.00,0.10,static_affordance,1691,0.08,2.753956238911876
8.00,40.00,0.10,unordered_contacts,1691,0.1,2.059586043761036
8.00,40.00,0.10,contact_bigram,1691,0.18,1.5824127735067794
8.00,40.00,0.10,flat_pair_memory,1691,0.06,6.442022471910139
8.00,40.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
8.00,40.00,0.50,static_affordance,1691,0.08,2.753956238911876
8.00,40.00,0.50,unordered_contacts,1691,0.1,2.059586043761036
8.00,40.00,0.50,contact_bigram,1691,0.18,1.5824127735067794
8.00,40.00,0.50,flat_pair_memory,1691,0.06,6.442022471910139
8.00,40.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
8.00,40.00,1.50,static_affordance,1691,0.08,2.753956238911876
8.00,40.00,1.50,unordered_contacts,1691,0.1,2.059586043761036
8.00,40.00,1.50,contact_bigram,1691,0.18,1.5824127735067794
8.00,40.00,1.50,flat_pair_memory,1691,0.06,6.442022471910139
8.00,40.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
8.00,40.00,4.00,static_affordance,1691,0.08,2.753956238911876
8.00,40.00,4.00,unordered_contacts,1691,0.1,2.059586043761036
8.00,40.00,4.00,contact_bigram,1691,0.18,1.5824127735067794
8.00,40.00,4.00,flat_pair_memory,1691,0.06,6.442022471910139
20.00,1.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
20.00,1.00,0.10,static_affordance,1691,0.08,6.784707273802449
20.00,1.00,0.10,unordered_contacts,1691,0.1,5.018781785925501
20.00,1.00,0.10,contact_bigram,1691,0.18,3.675848610289769
20.00,1.00,0.10,flat_pair_memory,1691,0.06,1.3787463039621126
20.00,1.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
20.00,1.00,0.50,static_affordance,1691,0.08,6.784707273802449
20.00,1.00,0.50,unordered_contacts,1691,0.1,5.018781785925501
20.00,1.00,0.50,contact_bigram,1691,0.18,3.675848610289769
20.00,1.00,0.50,flat_pair_memory,1691,0.06,1.3787463039621126
20.00,1.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
20.00,1.00,1.50,static_affordance,1691,0.08,6.784707273802449
20.00,1.00,1.50,unordered_contacts,1691,0.1,5.018781785925501
20.00,1.00,1.50,contact_bigram,1691,0.18,3.675848610289769
20.00,1.00,1.50,flat_pair_memory,1691,0.06,1.3787463039621126
20.00,1.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
20.00,1.00,4.00,static_affordance,1691,0.08,6.784707273802449
20.00,1.00,4.00,unordered_contacts,1691,0.1,5.018781785925501
