invalid_accept_cost,valid_reject_cost,probe_cost,method,trials,median_total_cost,mean_total_cost
20.00,1.00,4.00,contact_bigram,1691,0.18,3.675848610289769
20.00,1.00,4.00,flat_pair_memory,1691,0.06,1.3787463039621126
20.00,5.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
20.00,5.00,0.10,static_affordance,1691,0.08,6.784707273802449
20.00,5.00,0.10,unordered_contacts,1691,0.1,5.018781785925501
20.00,5.00,0.10,contact_bigram,1691,0.18,3.675848610289769
20.00,5.00,0.10,flat_pair_memory,1691,0.06,1.9701123595505174
20.00,5.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
20.00,5.00,0.50,static_affordance,1691,0.08,6.784707273802449
20.00,5.00,0.50,unordered_contacts,1691,0.1,5.018781785925501
20.00,5.00,0.50,contact_bigram,1691,0.18,3.675848610289769
20.00,5.00,0.50,flat_pair_memory,1691,0.06,1.9701123595505174
20.00,5.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
20.00,5.00,1.50,static_affordance,1691,0.08,6.784707273802449
20.00,5.00,1.50,unordered_contacts,1691,0.1,5.018781785925501
20.00,5.00,1.50,contact_bigram,1691,0.18,3.675848610289769
20.00,5.00,1.50,flat_pair_memory,1691,0.06,1.9701123595505174
20.00,5.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
20.00,5.00,4.00,static_affordance,1691,0.08,6.784707273802449
20.00,5.00,4.00,unordered_contacts,1691,0.1,5.018781785925501
20.00,5.00,4.00,contact_bigram,1691,0.18,3.675848610289769
20.00,5.00,4.00,flat_pair_memory,1691,0.06,1.9701123595505174
20.00,15.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
20.00,15.00,0.10,static_affordance,1691,0.08,6.784707273802449
20.00,15.00,0.10,unordered_contacts,1691,0.1,5.018781785925501
20.00,15.00,0.10,contact_bigram,1691,0.18,3.675848610289769
20.00,15.00,0.10,flat_pair_memory,1691,0.06,3.4485274985216643
20.00,15.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
20.00,15.00,0.50,static_affordance,1691,0.08,6.784707273802449
20.00,15.00,0.50,unordered_contacts,1691,0.1,5.018781785925501
20.00,15.00,0.50,contact_bigram,1691,0.18,3.675848610289769
20.00,15.00,0.50,flat_pair_memory,1691,0.06,3.4485274985216643
20.00,15.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
20.00,15.00,1.50,static_affordance,1691,0.08,6.784707273802449
20.00,15.00,1.50,unordered_contacts,1691,0.1,5.018781785925501
20.00,15.00,1.50,contact_bigram,1691,0.18,3.675848610289769
20.00,15.00,1.50,flat_pair_memory,1691,0.06,3.4485274985216643
20.00,15.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
20.00,15.00,4.00,static_affordance,1691,0.08,6.784707273802449
20.00,15.00,4.00,unordered_contacts,1691,0.1,5.018781785925501
20.00,15.00,4.00,contact_bigram,1691,0.18,3.675848610289769
20.00,15.00,4.00,flat_pair_memory,1691,0.06,3.4485274985216643
20.00,40.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
20.00,40.00,0.10,static_affordance,1691,0.08,6.784707273802449
20.00,40.00,0.10,unordered_contacts,1691,0.1,5.018781785925501
20.00,40.00,0.10,contact_bigram,1691,0.18,3.675848610289769
20.00,40.00,0.10,flat_pair_memory,1691,0.06,7.144565345949097
20.00,40.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
20.00,40.00,0.50,static_affordance,1691,0.08,6.784707273802449
20.00,40.00,0.50,unordered_contacts,1691,0.1,5.018781785925501
20.00,40.00,0.50,contact_bigram,1691,0.18,3.675848610289769
20.00,40.00,0.50,flat_pair_memory,1691,0.06,7.144565345949097
20.00,40.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
20.00,40.00,1.50,static_affordance,1691,0.08,6.784707273802449
20.00,40.00,1.50,unordered_contacts,1691,0.1,5.018781785925501
20.00,40.00,1.50,contact_bigram,1691,0.18,3.675848610289769
20.00,40.00,1.50,flat_pair_memory,1691,0.06,7.144565345949097
20.00,40.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
20.00,40.00,4.00,static_affordance,1691,0.08,6.784707273802449
20.00,40.00,4.00,unordered_contacts,1691,0.1,5.018781785925501
20.00,40.00,4.00,contact_bigram,1691,0.18,3.675848610289769
20.00,40.00,4.00,flat_pair_memory,1691,0.06,7.144565345949097
60.00,1.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
60.00,1.00,0.10,static_affordance,1691,0.08,20.220544056771754
60.00,1.00,0.10,unordered_contacts,1691,0.1,14.882767593140438
60.00,1.00,0.10,contact_bigram,1691,0.18,10.653968066233254
60.00,1.00,0.10,flat_pair_memory,1691,0.06,3.7205558840923567
60.00,1.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
60.00,1.00,0.50,static_affordance,1691,0.08,20.220544056771754
60.00,1.00,0.50,unordered_contacts,1691,0.1,14.882767593140438
60.00,1.00,0.50,contact_bigram,1691,0.18,10.653968066233254
60.00,1.00,0.50,flat_pair_memory,1691,0.06,3.7205558840923567
60.00,1.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
60.00,1.00,1.50,static_affordance,1691,0.08,20.220544056771754
60.00,1.00,1.50,unordered_contacts,1691,0.1,14.882767593140438
60.00,1.00,1.50,contact_bigram,1691,0.18,10.653968066233254
60.00,1.00,1.50,flat_pair_memory,1691,0.06,3.7205558840923567
60.00,1.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
60.00,1.00,4.00,static_affordance,1691,0.08,20.220544056771754
60.00,1.00,4.00,unordered_contacts,1691,0.1,14.882767593140438
60.00,1.00,4.00,contact_bigram,1691,0.18,10.653968066233254
60.00,1.00,4.00,flat_pair_memory,1691,0.06,3.7205558840923567
60.00,5.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
60.00,5.00,0.10,static_affordance,1691,0.08,20.220544056771754
60.00,5.00,0.10,unordered_contacts,1691,0.1,14.882767593140438
60.00,5.00,0.10,contact_bigram,1691,0.18,10.653968066233254
60.00,5.00,0.10,flat_pair_memory,1691,0.06,4.311921939680808
60.00,5.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
60.00,5.00,0.50,static_affordance,1691,0.08,20.220544056771754
60.00,5.00,0.50,unordered_contacts,1691,0.1,14.882767593140438
60.00,5.00,0.50,contact_bigram,1691,0.18,10.653968066233254
60.00,5.00,0.50,flat_pair_memory,1691,0.06,4.311921939680808
60.00,5.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
60.00,5.00,1.50,static_affordance,1691,0.08,20.220544056771754
60.00,5.00,1.50,unordered_contacts,1691,0.1,14.882767593140438
60.00,5.00,1.50,contact_bigram,1691,0.18,10.653968066233254
60.00,5.00,1.50,flat_pair_memory,1691,0.06,4.311921939680808
60.00,5.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
60.00,5.00,4.00,static_affordance,1691,0.08,20.220544056771754
60.00,5.00,4.00,unordered_contacts,1691,0.1,14.882767593140438
60.00,5.00,4.00,contact_bigram,1691,0.18,10.653968066233254
60.00,5.00,4.00,flat_pair_memory,1691,0.06,4.311921939680808
60.00,15.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
60.00,15.00,0.10,static_affordance,1691,0.08,20.220544056771754
60.00,15.00,0.10,unordered_contacts,1691,0.1,14.882767593140438
60.00,15.00,0.10,contact_bigram,1691,0.18,10.653968066233254
60.00,15.00,0.10,flat_pair_memory,1691,0.06,5.790337078651728
60.00,15.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
60.00,15.00,0.50,static_affordance,1691,0.08,20.220544056771754
60.00,15.00,0.50,unordered_contacts,1691,0.1,14.882767593140438
60.00,15.00,0.50,contact_bigram,1691,0.18,10.653968066233254
60.00,15.00,0.50,flat_pair_memory,1691,0.06,5.790337078651728
60.00,15.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
60.00,15.00,1.50,static_affordance,1691,0.08,20.220544056771754
60.00,15.00,1.50,unordered_contacts,1691,0.1,14.882767593140438
60.00,15.00,1.50,contact_bigram,1691,0.18,10.653968066233254
60.00,15.00,1.50,flat_pair_memory,1691,0.06,5.790337078651728
60.00,15.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
60.00,15.00,4.00,static_affordance,1691,0.08,20.220544056771754
60.00,15.00,4.00,unordered_contacts,1691,0.1,14.882767593140438
60.00,15.00,4.00,contact_bigram,1691,0.18,10.653968066233254
60.00,15.00,4.00,flat_pair_memory,1691,0.06,5.790337078651728
60.00,40.00,0.10,contact_grammar,1691,0.1,0.1655706682436425
60.00,40.00,0.10,static_affordance,1691,0.08,20.220544056771754
60.00,40.00,0.10,unordered_contacts,1691,0.1,14.882767593140438
60.00,40.00,0.10,contact_bigram,1691,0.18,10.653968066233254
60.00,40.00,0.10,flat_pair_memory,1691,0.06,9.486374926079092
60.00,40.00,0.50,contact_grammar,1691,0.1,0.1655706682436425
60.00,40.00,0.50,static_affordance,1691,0.08,20.220544056771754
60.00,40.00,0.50,unordered_contacts,1691,0.1,14.882767593140438
60.00,40.00,0.50,contact_bigram,1691,0.18,10.653968066233254
60.00,40.00,0.50,flat_pair_memory,1691,0.06,9.486374926079092
60.00,40.00,1.50,contact_grammar,1691,0.1,0.1655706682436425
60.00,40.00,1.50,static_affordance,1691,0.08,20.220544056771754
60.00,40.00,1.50,unordered_contacts,1691,0.1,14.882767593140438
60.00,40.00,1.50,contact_bigram,1691,0.18,10.653968066233254
60.00,40.00,1.50,flat_pair_memory,1691,0.06,9.486374926079092
60.00,40.00,4.00,contact_grammar,1691,0.1,0.1655706682436425
60.00,40.00,4.00,static_affordance,1691,0.08,20.220544056771754
60.00,40.00,4.00,unordered_contacts,1691,0.1,14.882767593140438
60.00,40.00,4.00,contact_bigram,1691,0.18,10.653968066233254
60.00,40.00,4.00,flat_pair_memory,1691,0.06,9.486374926079092
