suite,profile,method,n,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,mean_steps,mean_predicate_checks,mean_probes
counterexamples,bad_handle,contact_bigram,180,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,0.0
counterexamples,bad_handle,contact_grammar,180,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
counterexamples,bad_handle,static_affordance,180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
counterexamples,bad_handle,unordered_contacts,180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0
counterexamples,blocked_side,contact_bigram,180,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0
counterexamples,blocked_side,contact_grammar,180,1.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0
counterexamples,blocked_side,static_affordance,180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
counterexamples,blocked_side,unordered_contacts,180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
counterexamples,fragile_force,contact_bigram,180,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0
counterexamples,fragile_force,contact_grammar,180,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0
counterexamples,fragile_force,static_affordance,180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
counterexamples,fragile_force,unordered_contacts,180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
counterexamples,no_brace,contact_bigram,180,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0
counterexamples,no_brace,contact_grammar,180,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0
counterexamples,no_brace,static_affordance,180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
counterexamples,no_brace,unordered_contacts,180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
counterexamples,slippery_surface,contact_bigram,180,0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0
counterexamples,slippery_surface,contact_grammar,180,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0
counterexamples,slippery_surface,static_affordance,180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
counterexamples,slippery_surface,unordered_contacts,180,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
