suite,profile,method,n,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,mean_steps,mean_predicate_checks,mean_probes
main_scaling,baseline,contact_bigram,1691,0.8255470136014192,0.6242038216560509,1.0,0.7686274509803922,0.2456286427976686,0.0,2.0,5.339444115907747,0.0
main_scaling,baseline,contact_grammar,1691,1.0,1.0,1.0,1.0,0.0,0.0,1.6091070372560614,5.060319337670018,0.0
main_scaling,baseline,family_prior,1691,0.6995860437610881,0.4594594594594595,0.20816326530612245,0.2865168539325843,0.09991673605328892,0.7918367346938775,1.0,1.0,0.0
main_scaling,baseline,flat_pair_memory,1691,0.7936132465996452,0.7079646017699115,0.4897959183673469,0.5790108564535585,0.08243130724396336,0.5102040816326531,1.0,1.0,0.0
main_scaling,baseline,static_affordance,1691,0.6641040804257835,0.46313799621928164,1.0,0.6330749354005167,0.47293921731890093,0.0,1.0,1.3394441159077468,0.0
main_scaling,baseline,task_prior,1691,0.6995860437610881,0.4594594594594595,0.20816326530612245,0.2865168539325843,0.09991673605328892,0.7918367346938775,1.0,1.0,0.0
main_scaling,baseline,tool_prior,1691,0.6942637492607925,0.4723926380368098,0.4714285714285714,0.47191011235955055,0.21482098251457118,0.5285714285714286,1.0,1.0,0.0
main_scaling,baseline,unordered_contacts,1691,0.7534003548196333,0.5402425578831312,1.0,0.7015032211882606,0.347210657785179,0.0,1.0,2.339444115907747,0.0
main_scaling,fragile_targets,contact_bigram,1691,0.8302779420461266,0.6263020833333334,1.0,0.7702161729383507,0.2371900826446281,0.0,2.0,5.338852749852158,0.0
main_scaling,fragile_targets,contact_grammar,1691,1.0,1.0,1.0,1.0,0.0,0.0,1.5913660555884093,5.082791247782377,0.0
main_scaling,fragile_targets,family_prior,1691,0.7060910703725606,0.47575757575757577,0.3264033264033264,0.3871763255240444,0.14297520661157026,0.6735966735966736,1.0,1.0,0.0
main_scaling,fragile_targets,flat_pair_memory,1691,0.8243642814902424,0.7421052631578947,0.5862785862785863,0.6550522648083624,0.08099173553719008,0.41372141372141374,1.0,1.0,0.0
main_scaling,fragile_targets,static_affordance,1691,0.6599645180366647,0.45549242424242425,1.0,0.6258945998698764,0.47520661157024796,0.0,1.0,1.3388527498521585,0.0
main_scaling,fragile_targets,task_prior,1691,0.7060910703725606,0.47575757575757577,0.3264033264033264,0.3871763255240444,0.14297520661157026,0.6735966735966736,1.0,1.0,0.0
main_scaling,fragile_targets,tool_prior,1691,0.7161442933175636,0.501123595505618,0.46361746361746364,0.48164146868250546,0.1834710743801653,0.5363825363825364,1.0,1.0,0.0
main_scaling,fragile_targets,unordered_contacts,1691,0.7332939089296274,0.5160944206008584,1.0,0.6808209483368719,0.37272727272727274,0.0,1.0,2.3388527498521583,0.0
main_scaling,hard_access,contact_bigram,1691,0.7906564163217031,0.5569461827284106,1.0,0.7154340836012862,0.2841091492776886,0.0,2.0,5.299822590183323,0.0
main_scaling,hard_access,contact_grammar,1691,1.0,1.0,1.0,1.0,0.0,0.0,1.5470136014192786,4.972797161442934,0.0
main_scaling,hard_access,family_prior,1691,0.7474866942637493,0.5865384615384616,0.13707865168539327,0.22222222222222224,0.03451043338683788,0.8629213483146068,1.0,1.0,0.0
