suite,profile,condition,episode_id,split,task,family,tool_signature,ood_signature,oracle,oracle_reason,method,prediction,reason,steps,predicate_checks,probes,abstained
granularity,fine,role_abstraction,1190,test,lever_heavy_box,lever,curved_shaft+long_shaft+wedge,1,false,insufficient_friction,grammar_fine,false,production_friction_gate,1,6,0,false
granularity,coarse_sides,role_abstraction,1190,test,lever_heavy_box,lever,curved_shaft+long_shaft+wedge,1,false,insufficient_friction,grammar_coarse_sides,false,production_friction_gate,1,6,0,false
granularity,no_environment_role,role_abstraction,1190,test,lever_heavy_box,lever,curved_shaft+long_shaft+wedge,1,false,insufficient_friction,grammar_no_environment_role,false,production_friction_gate,1,6,0,false
granularity,unordered_derivation,role_abstraction,1190,test,lever_heavy_box,lever,curved_shaft+long_shaft+wedge,1,false,insufficient_friction,grammar_unordered_derivation,false,production_friction_gate,1,6,0,false
granularity,no_roles,role_abstraction,1190,test,lever_heavy_box,lever,curved_shaft+long_shaft+wedge,1,false,insufficient_friction,grammar_no_roles,false,production_friction_gate,1,6,0,false
granularity,fine,role_abstraction,1191,test,wedge_separate,separate,thin_lip+wedge,1,false,no_environment_brace,grammar_fine,false,production_brace_gate,1,9,0,false
granularity,coarse_sides,role_abstraction,1191,test,wedge_separate,separate,thin_lip+wedge,1,false,no_environment_brace,grammar_coarse_sides,false,production_brace_gate,1,9,0,false
granularity,no_environment_role,role_abstraction,1191,test,wedge_separate,separate,thin_lip+wedge,1,false,no_environment_brace,grammar_no_environment_role,true,grasp -> insert_lip -> brace -> separate,4,11,0,false
granularity,unordered_derivation,role_abstraction,1191,test,wedge_separate,separate,thin_lip+wedge,1,false,no_environment_brace,grammar_unordered_derivation,false,production_brace_gate,1,9,0,false
granularity,no_roles,role_abstraction,1191,test,wedge_separate,separate,thin_lip+wedge,1,false,no_environment_brace,grammar_no_roles,false,production_brace_gate,1,9,0,false
granularity,fine,role_abstraction,1192,test,pry_lid,pry,high_friction+hook+soft_pad,1,false,missing_feature:wedge,grammar_fine,false,production_missing_feature:wedge,1,1,0,false
granularity,coarse_sides,role_abstraction,1192,test,pry_lid,pry,high_friction+hook+soft_pad,1,false,missing_feature:wedge,grammar_coarse_sides,false,production_missing_feature:wedge,1,1,0,false
granularity,no_environment_role,role_abstraction,1192,test,pry_lid,pry,high_friction+hook+soft_pad,1,false,missing_feature:wedge,grammar_no_environment_role,false,production_missing_feature:wedge,1,1,0,false
granularity,unordered_derivation,role_abstraction,1192,test,pry_lid,pry,high_friction+hook+soft_pad,1,false,missing_feature:wedge,grammar_unordered_derivation,false,production_missing_feature:wedge,1,1,0,false
granularity,no_roles,role_abstraction,1192,test,pry_lid,pry,high_friction+hook+soft_pad,1,false,missing_feature:wedge,grammar_no_roles,false,production_missing_feature:wedge,1,1,0,false
granularity,fine,role_abstraction,1193,test,lift_loop,hook_lift,flat_end+narrow_tip+wedge,1,false,missing_feature:hook,grammar_fine,false,production_missing_feature:hook,1,1,0,false
granularity,coarse_sides,role_abstraction,1193,test,lift_loop,hook_lift,flat_end+narrow_tip+wedge,1,false,missing_feature:hook,grammar_coarse_sides,false,production_missing_feature:hook,1,1,0,false
granularity,no_environment_role,role_abstraction,1193,test,lift_loop,hook_lift,flat_end+narrow_tip+wedge,1,false,missing_feature:hook,grammar_no_environment_role,false,production_missing_feature:hook,1,1,0,false
granularity,unordered_derivation,role_abstraction,1193,test,lift_loop,hook_lift,flat_end+narrow_tip+wedge,1,false,missing_feature:hook,grammar_unordered_derivation,false,production_missing_feature:hook,1,1,0,false
granularity,no_roles,role_abstraction,1193,test,lift_loop,hook_lift,flat_end+narrow_tip+wedge,1,false,missing_feature:hook,grammar_no_roles,false,production_missing_feature:hook,1,1,0,false
granularity,fine,role_abstraction,1194,test,lift_loop,hook_lift,curved_shaft,1,false,missing_feature:hook,grammar_fine,false,production_missing_feature:hook,1,1,0,false
granularity,coarse_sides,role_abstraction,1194,test,lift_loop,hook_lift,curved_shaft,1,false,missing_feature:hook,grammar_coarse_sides,false,production_missing_feature:hook,1,1,0,false
granularity,no_environment_role,role_abstraction,1194,test,lift_loop,hook_lift,curved_shaft,1,false,missing_feature:hook,grammar_no_environment_role,false,production_missing_feature:hook,1,1,0,false
granularity,unordered_derivation,role_abstraction,1194,test,lift_loop,hook_lift,curved_shaft,1,false,missing_feature:hook,grammar_unordered_derivation,false,production_missing_feature:hook,1,1,0,false
granularity,no_roles,role_abstraction,1194,test,lift_loop,hook_lift,curved_shaft,1,false,missing_feature:hook,grammar_no_roles,false,production_missing_feature:hook,1,1,0,false
granularity,fine,role_abstraction,1195,test,wedge_separate,separate,thin_lip+torque_handle+wedge,1,false,bad_handle_offset,grammar_fine,false,production_handle_gate,1,7,0,false
granularity,coarse_sides,role_abstraction,1195,test,wedge_separate,separate,thin_lip+torque_handle+wedge,1,false,bad_handle_offset,grammar_coarse_sides,false,production_handle_gate,1,7,0,false
