suite,profile,condition,episode_id,split,task,family,tool_signature,ood_signature,oracle,oracle_reason,method,prediction,reason,steps,predicate_checks,probes,abstained
counterexamples,blocked_side,side role ignored,0,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_grammar,false,production_side_gate,1,7,0,false
counterexamples,blocked_side,side role ignored,0,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,unordered_contacts,true,contacts_present_order_ignored,1,2,0,false
counterexamples,blocked_side,side role ignored,0,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,static_affordance,true,feature_affordance_match,1,1,0,false
counterexamples,blocked_side,side role ignored,0,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_bigram,true,local_contact_bigrams,2,5,0,false
counterexamples,blocked_side,side role ignored,1,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_grammar,false,production_side_gate,1,7,0,false
counterexamples,blocked_side,side role ignored,1,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,unordered_contacts,true,contacts_present_order_ignored,1,2,0,false
counterexamples,blocked_side,side role ignored,1,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,static_affordance,true,feature_affordance_match,1,1,0,false
counterexamples,blocked_side,side role ignored,1,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_bigram,true,local_contact_bigrams,2,5,0,false
counterexamples,blocked_side,side role ignored,2,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_grammar,false,production_side_gate,1,7,0,false
counterexamples,blocked_side,side role ignored,2,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,unordered_contacts,true,contacts_present_order_ignored,1,2,0,false
counterexamples,blocked_side,side role ignored,2,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,static_affordance,true,feature_affordance_match,1,1,0,false
counterexamples,blocked_side,side role ignored,2,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_bigram,true,local_contact_bigrams,2,5,0,false
counterexamples,blocked_side,side role ignored,3,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_grammar,false,production_side_gate,1,7,0,false
counterexamples,blocked_side,side role ignored,3,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,unordered_contacts,true,contacts_present_order_ignored,1,2,0,false
counterexamples,blocked_side,side role ignored,3,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,static_affordance,true,feature_affordance_match,1,1,0,false
counterexamples,blocked_side,side role ignored,3,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_bigram,true,local_contact_bigrams,2,5,0,false
counterexamples,blocked_side,side role ignored,4,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_grammar,false,production_side_gate,1,7,0,false
counterexamples,blocked_side,side role ignored,4,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,unordered_contacts,true,contacts_present_order_ignored,1,2,0,false
counterexamples,blocked_side,side role ignored,4,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,static_affordance,true,feature_affordance_match,1,1,0,false
counterexamples,blocked_side,side role ignored,4,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_bigram,true,local_contact_bigrams,2,5,0,false
counterexamples,blocked_side,side role ignored,5,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_grammar,false,production_side_gate,1,7,0,false
counterexamples,blocked_side,side role ignored,5,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,unordered_contacts,true,contacts_present_order_ignored,1,2,0,false
counterexamples,blocked_side,side role ignored,5,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,static_affordance,true,feature_affordance_match,1,1,0,false
counterexamples,blocked_side,side role ignored,5,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_bigram,true,local_contact_bigrams,2,5,0,false
counterexamples,blocked_side,side role ignored,6,test,sweep_debris,sweep,flat_edge+flat_end+high_friction,1,false,blocked_contact_side,contact_grammar,false,production_side_gate,1,7,0,false
