suite,condition,method,n,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,mean_steps,mean_predicate_checks,mean_probes
mutation_audit,drop_brace_gate,grammar_drop_brace_gate,2520,0.9865079365079366,0.9523809523809523,1.0,0.975609756097561,0.01847826086956522,0.0,1.6003968253968255,5.063095238095238,0.0
mutation_audit,drop_compliance_gate,grammar_drop_compliance_gate,2520,1.0,1.0,1.0,1.0,0.0,0.0,1.559920634920635,5.036111111111111,0.0
mutation_audit,drop_fragility_gate,grammar_drop_fragility_gate,2520,0.9920634920634921,0.9714285714285714,1.0,0.9855072463768115,0.010869565217391304,0.0,1.5757936507936507,5.044047619047619,0.0
mutation_audit,drop_friction_gate,grammar_drop_friction_gate,2520,0.9234126984126985,0.7789232531500573,1.0,0.8757244043786221,0.10489130434782609,0.0,1.7400793650793651,5.545634920634921,0.0
mutation_audit,drop_handle_gate,grammar_drop_handle_gate,2520,0.9952380952380953,0.9826589595375722,1.0,0.9912536443148687,0.006521739130434782,0.0,1.5742063492063492,5.060714285714286,0.0
mutation_audit,drop_length_gate,grammar_drop_length_gate,2520,0.9543650793650794,0.8553459119496856,1.0,0.9220338983050848,0.0625,0.0,1.6575396825396826,5.481746031746032,0.0
mutation_audit,drop_mechanical_gate,grammar_drop_mechanical_gate,2520,1.0,1.0,1.0,1.0,0.0,0.0,1.559920634920635,5.036111111111111,0.0
mutation_audit,drop_sequence_order,grammar_drop_sequence_order,2520,1.0,1.0,1.0,1.0,0.0,0.0,1.2900793650793652,5.036111111111111,0.0
mutation_audit,drop_side_gate,grammar_drop_side_gate,2520,0.9384920634920635,0.8143712574850299,1.0,0.8976897689768977,0.08423913043478261,0.0,1.682936507936508,5.224603174603175,0.0
mutation_audit,drop_stiffness_gate,grammar_drop_stiffness_gate,2520,0.9543650793650794,0.8553459119496856,1.0,0.9220338983050848,0.0625,0.0,1.651190476190476,5.40952380952381,0.0
